subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_145_LOBY_&_CSECURITY,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.145 LOBY & CSECURITY,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_146_VIP_REST_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.146 VIP REST ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_147_VIP_REST_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.147 VIP REST ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_148_VIP_MAJLIS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.148 VIP MAJLIS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_149_DIRECTOR_HEAD,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.149 DIRECTOR HEAD,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_150_ASSISTANT_HEAD,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.150 ASSISTANT HEAD,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_151_RESEARCH_&_DOC-RCRDS_MGMT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.151 RESEARCH & DOC-RCRDS MGMT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_152_SECURITY_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.152 SECURITY ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_153_PROF_LIBRARIAN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.153 PROF LIBRARIAN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_155_FACULTY_CARRELS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.155 FACULTY CARRELS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_156_FACULTY_CARRELS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.156 FACULTY CARRELS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_157_FACULTY_CARRELS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.157 FACULTY CARRELS,,,,,,,,,,,,,,,,,,,,
