kind,source_identifier,ontology_identifier,rdfs:label_en
CAV,CAV_B_S13_001,entity:QNL_CAV_B_S13_001,QNL_CAV_B_S13_001
CAV,CAV_B_S13_002,entity:QNL_CAV_B_S13_002,QNL_CAV_B_S13_002
CAV,CAV_B_S13_003,entity:QNL_CAV_B_S13_003,QNL_CAV_B_S13_003
CAV,CAV_B_S13_004,entity:QNL_CAV_B_S13_004,QNL_CAV_B_S13_004
CAV,CAV_B_S13_005,entity:QNL_CAV_B_S13_005,QNL_CAV_B_S13_005
CAV,CAV_B_S13_006,entity:QNL_CAV_B_S13_006,QNL_CAV_B_S13_006
CAV,CAV_B_S13_007,entity:QNL_CAV_B_S13_007,QNL_CAV_B_S13_007
CAV,CAV_B_S13_008,entity:QNL_CAV_B_S13_008,QNL_CAV_B_S13_008
CAV,CAV_B_S13_050,entity:QNL_CAV_B_S13_050,QNL_CAV_B_S13_050
CAV,CAV_B_S14_002,entity:QNL_CAV_B_S14_002,QNL_CAV_B_S14_002
FCU,FCU_B_003,entity:QNL_FCU_B_003,QNL_FCU_B_003
FCU,FCU_B_011,entity:QNL_FCU_B_011,QNL_FCU_B_011
FCU,FCU_B_012,entity:QNL_FCU_B_012,QNL_FCU_B_012
FCU,FCU_B_013,entity:QNL_FCU_B_013,QNL_FCU_B_013
FCU,FCU_B_014,entity:QNL_FCU_B_014,QNL_FCU_B_014
FCU,FCU_B_006,entity:QNL_FCU_B_006,QNL_FCU_B_006
FCU,FCU_B_007,entity:QNL_FCU_B_007,QNL_FCU_B_007
FCU,FCU_B_002,entity:QNL_FCU_B_002,QNL_FCU_B_002
FCU,FCU_B_008,entity:QNL_FCU_B_008,QNL_FCU_B_008
FCU,FCU_B_009,entity:QNL_FCU_B_009,QNL_FCU_B_009
FCU,FCU_B_015,entity:QNL_FCU_B_015,QNL_FCU_B_015
FCU,FCU_B_016,entity:QNL_FCU_B_016,QNL_FCU_B_016
FCU,FCU_B_017,entity:QNL_FCU_B_017,QNL_FCU_B_017
FCU,FCU_B_027,entity:QNL_FCU_B_027,QNL_FCU_B_027
FCU,FCU_B_028,entity:QNL_FCU_B_028,QNL_FCU_B_028
FCU,FCU_B_036,entity:QNL_FCU_B_036,QNL_FCU_B_036
FCU,FCU_B_032,entity:QNL_FCU_B_032,QNL_FCU_B_032
FCU,FCU_B_033,entity:QNL_FCU_B_033,QNL_FCU_B_033
FCU,FCU_B_034,entity:QNL_FCU_B_034,QNL_FCU_B_034
FCU,FCU_B_035,entity:QNL_FCU_B_035,QNL_FCU_B_035
FCU,FCU_B_029,entity:QNL_FCU_B_029,QNL_FCU_B_029
FCU,FCU_B_038,entity:QNL_FCU_B_038,QNL_FCU_B_038
FCU,FCU_B_001,entity:QNL_FCU_B_001,QNL_FCU_B_001
FCU,FCU_B_022,entity:QNL_FCU_B_022,QNL_FCU_B_022
FCU,FCU_B_023,entity:QNL_FCU_B_023,QNL_FCU_B_023
FCU,FCU_B_024,entity:QNL_FCU_B_024,QNL_FCU_B_024
FCU,FCU_B_004,entity:QNL_FCU_B_004,QNL_FCU_B_004
FCU,FCU_B_031,entity:QNL_FCU_B_031,QNL_FCU_B_031
FCU,FCU_B_037,entity:QNL_FCU_B_037,QNL_FCU_B_037
FCU,FCU_B_018,entity:QNL_FCU_B_018,QNL_FCU_B_018
FCU,FCU_B_019,entity:QNL_FCU_B_019,QNL_FCU_B_019
FCU,FCU_B_020,entity:QNL_FCU_B_020,QNL_FCU_B_020
FCU,FCU_B_021,entity:QNL_FCU_B_021,QNL_FCU_B_021
FCU,FCU_B_030,entity:QNL_FCU_B_030,QNL_FCU_B_030
FCU,FCU_1F_002,entity:QNL_FCU_1F_002,QNL_FCU_1F_002
FCU,FCU_1F_003,entity:QNL_FCU_1F_003,QNL_FCU_1F_003
FCU,FCU_1F_004,entity:QNL_FCU_1F_004,QNL_FCU_1F_004
FCU,FCU_1F_005,entity:QNL_FCU_1F_005,QNL_FCU_1F_005
FCU,FCU_1F_006,entity:QNL_FCU_1F_006,QNL_FCU_1F_006
FCU,FCU_1F_007,entity:QNL_FCU_1F_007,QNL_FCU_1F_007
FCU,FCU_1F_008,entity:QNL_FCU_1F_008,QNL_FCU_1F_008
